estacion_origen,estacion_destino,dni_usuario,hora_retiro,tiempo_de_uso,hora_de_llegada,id_bici
54,17,5187030,00:03:27,00:08:16,00:11:43,4826
54,17,5187030,00:04:33,00:11:17,00:15:50,3579
142,17,5187030,00:06:39,00:13:06,00:19:45,1317
180,180,6170750,00:02:07,00:17:58,00:20:05,5419
14,182,5735920,00:14:41,00:07:14,00:21:55,2722
105,120,6109620,00:01:21,00:20:48,00:22:09,8872
142,17,5187030,00:10:27,00:12:16,00:22:43,3970
87,97,6109620,00:12:51,00:10:10,00:23:01,4306
70,17,5187030,00:11:28,00:11:58,00:23:26,8727
72,140,1895160,00:03:56,00:20:47,00:24:43,6060
29,17,5187030,00:10:44,00:14:10,00:24:54,4992
146,21,6434870,00:07:39,00:17:21,00:25:00,3409
67,184,6109620,00:10:28,00:15:59,00:26:27,4075
76,185,3892850,00:01:28,00:25:49,00:27:17,3955
29,29,5945340,00:10:09,00:18:18,00:28:27,5197
116,47,6215800,00:06:02,00:22:57,00:28:59,7887
124,33,5751430,00:15:17,00:14:38,00:29:55,5836
29,129,5945340,00:12:13,00:17:52,00:30:05,2294
80,67,6109620,00:21:56,00:10:20,00:32:16,7131
116,16,6215800,00:06:50,00:25:33,00:32:23,8849
60,192,5495730,00:19:43,00:13:27,00:33:10,5779
80,184,6109620,00:10:22,00:26:32,00:36:54,4716
116,16,6215800,00:07:42,00:29:36,00:37:18,4266
17,142,5187030,00:13:29,00:23:50,00:37:19,2029
116,16,6215800,00:06:09,00:31:32,00:37:41,7646
58,58,5731900,00:09:34,00:29:24,00:38:58,8167
123,168,5731900,00:13:12,00:26:25,00:39:37,5660
58,168,5731900,00:10:56,00:29:27,00:40:23,2459
58,168,5731900,00:04:01,00:36:24,00:40:25,4532
186,186,4841520,00:03:31,00:38:30,00:42:01,4360
58,148,5731900,00:05:42,00:36:39,00:42:21,3314
113,133,5735920,00:02:17,00:40:40,00:42:57,6229
58,168,5731900,00:09:04,00:35:49,00:44:53,4069
123,168,5731900,00:14:25,00:30:33,00:44:58,6400
67,184,6109620,00:30:48,00:16:52,00:47:40,1883
183,183,4300980,00:39:13,00:08:37,00:47:50,6458
124,33,5751430,00:21:57,00:25:54,00:47:51,5618
64,9,5925780,00:37:30,00:11:10,00:48:40,4855
124,84,5945340,00:04:21,00:45:30,00:49:51,4875
58,168,5731900,00:21:33,00:30:01,00:51:34,8622
58,168,5731900,00:07:18,00:47:00,00:54:18,1833
14,14,3892850,00:19:37,00:35:40,00:55:17,1871
67,184,6109620,00:38:13,00:19:26,00:57:39,1468
184,67,6109620,00:40:07,00:17:45,00:57:52,8611
58,168,5731900,00:08:50,00:50:06,00:58:56,2970
96,13,5572600,00:50:27,00:08:50,00:59:17,2167
58,168,5731900,00:29:53,00:30:05,00:59:58,6978
110,13,5572600,00:52:17,00:08:17,01:00:34,8072
123,33,5751430,00:40:03,00:20:33,01:00:36,7245
52,167,5945340,00:40:26,00:20:23,01:00:49,2489
17,17,5187030,00:55:52,00:06:01,01:01:53,6429
116,33,5751430,00:39:54,00:22:08,01:02:02,3314
17,29,5187030,00:43:53,00:18:19,01:02:12,8530
166,97,3892850,00:12:52,00:50:36,01:03:28,5627
54,97,3892850,00:26:50,00:40:33,01:07:23,6295
141,183,4300980,00:37:48,00:29:49,01:07:37,3733
30,56,5751430,00:41:18,00:29:38,01:10:56,4302
142,17,5187030,00:58:58,00:12:27,01:11:25,4769
33,111,5751430,00:43:17,00:28:46,01:12:03,5821
5,89,5440160,01:02:32,00:11:26,01:13:58,2374
28,28,6443330,00:32:15,00:42:45,01:15:00,7006
59,89,5440160,01:05:20,00:09:52,01:15:12,1850
124,30,5751430,00:29:34,00:48:03,01:17:37,1838
29,17,5187030,01:07:32,00:11:00,01:18:32,4176
67,87,6109620,01:04:58,00:13:35,01:18:33,5218
154,110,4595530,01:01:01,00:19:32,01:20:33,5216
100,113,5925780,01:07:39,00:16:18,01:23:57,7372
194,194,5377800,00:48:03,00:38:32,01:26:35,1991
182,158,5945340,01:12:23,00:16:57,01:29:20,7557
20,142,5097280,01:20:48,00:09:02,01:29:50,6638
88,88,5965780,01:26:34,00:05:47,01:32:21,4221
184,184,6109620,01:21:44,00:12:34,01:34:18,6943
193,5,5735920,01:20:58,00:13:42,01:34:40,1979
142,142,5187030,00:55:06,00:40:44,01:35:50,5072
58,168,5731900,00:44:21,00:51:51,01:36:12,3790
134,89,5440160,01:15:49,00:26:28,01:42:17,7063
154,9,4595530,00:53:07,00:55:20,01:48:27,2072
8,117,1895160,01:03:00,00:45:42,01:48:42,7786
104,9,5112170,01:15:58,00:38:20,01:54:18,6577
100,12,5925780,01:18:17,00:38:05,01:56:22,3567
70,17,5187030,01:47:27,00:11:05,01:58:32,7832
200,47,1895160,01:12:55,00:45:50,01:58:45,8751
70,17,5187030,01:46:21,00:12:41,01:59:02,3567
142,17,5187030,01:47:30,00:12:21,01:59:51,5953
54,17,5187030,02:00:14,00:07:14,02:07:28,3104
70,17,5187030,01:55:55,00:14:44,02:10:39,1036
69,47,1895160,01:45:44,00:25:21,02:11:05,4321
188,89,5440160,01:41:32,00:30:11,02:11:43,2661
58,8,6042050,01:34:41,00:39:02,02:13:43,4759
183,183,4300980,01:57:49,00:18:02,02:15:51,2881
73,72,1895160,02:00:05,00:17:51,02:17:56,8592
183,183,4300980,02:10:49,00:14:52,02:25:41,3908
70,17,5187030,02:14:45,00:11:24,02:26:09,7208
54,17,5187030,02:19:01,00:07:12,02:26:13,8997
105,140,6109620,02:15:28,00:12:38,02:28:06,7398
69,72,1895160,02:10:26,00:19:17,02:29:43,3666
85,9,5572600,02:14:04,00:19:36,02:33:40,4862
17,17,5187030,02:18:50,00:15:42,02:34:32,3937
74,74,5187030,02:15:46,00:18:59,02:34:45,8216
88,91,6434870,02:24:08,00:13:30,02:37:38,5752
21,146,6434870,02:08:10,00:29:35,02:37:45,7839
154,64,4595530,01:02:24,01:47:44,02:50:08,1161
9,5,5112170,02:01:30,00:54:47,02:56:17,5035
141,89,5440160,02:37:57,00:20:27,02:58:24,7936
74,17,5187030,02:43:24,00:19:03,03:02:27,7098
188,89,5440160,02:41:22,00:31:06,03:12:28,5897
158,188,5945340,02:40:25,00:33:47,03:14:12,7375
183,183,4300980,03:06:22,00:10:32,03:16:54,5321
167,67,6109620,02:45:51,00:33:25,03:19:16,4982
84,146,6434870,03:15:59,00:23:15,03:39:14,8864
69,47,1895160,03:22:41,00:18:28,03:41:09,5283
67,184,6109620,03:25:35,00:16:35,03:42:10,8555
58,39,6042050,03:04:57,00:38:14,03:43:11,6415
14,29,5945340,02:27:43,01:17:43,03:45:26,8626
69,47,1895160,03:31:52,00:18:55,03:50:47,1702
9,50,4595530,01:57:03,01:58:58,03:56:01,8023
58,8,6042050,03:29:15,00:27:40,03:56:55,7063
124,47,1895160,03:43:07,00:31:04,04:14:11,1795
29,17,5187030,04:03:05,00:12:34,04:15:39,4383
58,8,6042050,03:50:36,00:31:54,04:22:30,8773
120,72,1895160,04:11:52,00:11:58,04:23:50,2270
58,8,6042050,04:01:22,00:27:18,04:28:40,8125
58,8,6042050,04:02:12,00:29:22,04:31:34,7050
125,12,5925780,04:09:03,00:24:17,04:33:20,8340
64,9,4595530,02:56:11,01:39:31,04:35:42,4887
106,13,3126850,04:36:36,00:08:16,04:44:52,7159
9,12,5925780,04:32:43,00:13:25,04:46:08,8861
50,5,4595530,04:01:45,00:45:06,04:46:51,8535
106,13,3126850,04:38:14,00:08:40,04:46:54,3562
106,13,3126850,04:40:15,00:08:57,04:49:12,5742
58,58,6042050,04:45:06,00:06:44,04:51:50,6715
8,148,5731900,04:40:09,00:12:12,04:52:21,2055
106,130,3126850,04:29:59,00:23:14,04:53:13,2445
59,12,5925780,04:39:41,00:14:39,04:54:20,5404
99,12,5925780,04:15:58,00:39:57,04:55:55,3194
106,13,3126850,04:49:30,00:09:09,04:58:39,4167
106,13,3126850,04:53:49,00:08:15,05:02:04,7565
106,13,3126850,04:55:19,00:07:54,05:03:13,2613
58,8,6042050,04:36:05,00:30:12,05:06:17,8062
